"Point Name","Volttron Point Name","BACnetPointName","Brick Type","BACnetObjectType","Writable","Units"
"reaPEle_y_bacnet","reaPEle_y_bacnet","reaPEle_y","Electric_Power_Sensor","analog-value","false","watts"
"ahu_reaPFanSup_y_bacnet","ahu_reaPFanSup_y_bacnet","ahu_reaPFanSup_y","Electric_Power_Sensor","analog-value","false","watts"
"reaPPum_y_bacnet","reaPPum_y_bacnet","reaPPum_y","Electric_Power_Sensor","analog-value","false","watts"
"ahu_reaTRetAir_y_bacnet","ahu_reaTRetAir_y_bacnet","ahu_reaTRetAir_y","Return_Air_Temperature_Sensor","analog-value","false","degreesKelvin"
"ahu_reaPFanRet_y_bacnet","ahu_reaPFanRet_y_bacnet","ahu_reaPFanRet_y","Electric_Power_Sensor","analog-value","false","watts"
"ahu_reaFloSupAir_y_bacnet","ahu_reaFloSupAir_y_bacnet","ahu_reaFloSupAir_y","Supply_Air_Flow_Sensor","analog-value","false","kilogramsPerSecond"
"reaCO2Zon_y_bacnet","reaCO2Zon_y_bacnet","reaCO2Zon_y","CO2_Level_Sensor","analog-value","false","partsPerMillion"
"reaQHea_y_bacnet","reaQHea_y_bacnet","reaQHea_y","Thermal_Power_Sensor","analog-value","false","watts"
"oveTZonSet_u_bacnet","oveTZonSet_u_bacnet","oveTZonSet_u","Zone_Air_Temperature_Setpoint","analog-value","true","degreesKelvin"
"oveTZonSet_u_bacnet","oveTZonSet_u_bacnet","oveTZonSet_u","Zone_Air_Heating_Temperature_Setpoint","analog-value","true","degreesKelvin"
"reaTZon_y_bacnet","reaTZon_y_bacnet","reaTZon_y","Zone_Air_Temperature_Sensor","analog-value","false","degreesKelvin"