"PointName","VolttronPointName","BrickType","BACnetObjectType","Writable","Units"
"reaPEle_y_bacnet","reaPEle_y","https://brickschema.org/schema/Brick#Electrical_Power_Sensor","analog-value","false","watts"
"ahu_reaPFanSup_y_bacnet","ahu_reaPFanSup_y","https://brickschema.org/schema/Brick#Electrical_Power_Sensor","analog-value","false","watts"
"reaPPum_y_bacnet","reaPPum_y","https://brickschema.org/schema/Brick#Electrical_Power_Sensor","analog-value","false","watts"
"ahu_reaTRetAir_y_bacnet","ahu_reaTRetAir_y","https://brickschema.org/schema/Brick#Return_Air_Temperature_Sensor","analog-value","false","degreesKelvin"
"ahu_reaPFanRet_y_bacnet","ahu_reaPFanRet_y","https://brickschema.org/schema/Brick#Electrical_Power_Sensor","analog-value","false","watts"
"ahu_reaFloSupAir_y_bacnet","ahu_reaFloSupAir_y","https://brickschema.org/schema/Brick#Supply_Air_Flow_Sensor","analog-value","false","kilogramsPerSecond"
"reaCO2Zon_y_bacnet","reaCO2Zon_y","https://brickschema.org/schema/Brick#CO2_Level_Sensor","analog-value","false","partsPerMillion"
"reaQHea_y_bacnet","reaQHea_y","https://brickschema.org/schema/Brick#Thermal_Power_Sensor","analog-value","false","watts"
"oveTZonSet_u_bacnet","oveTZonSet_u","https://brickschema.org/schema/Brick#Zone_Air_Temperature_Setpoint","analog-value","true","degreesKelvin"
"oveTZonSet_u_bacnet","oveTZonSet_u","https://brickschema.org/schema/Brick#Zone_Air_Heating_Temperature_Setpoint","analog-value","true","degreesKelvin"
"reaTZon_y_bacnet","reaTZon_y","https://brickschema.org/schema/Brick#Zone_Air_Temperature_Sensor","analog-value","false","degreesKelvin"